Dates,State,Consumption_MU
2019-06-01,Andhra Pradesh,197.3
2019-06-02,Andhra Pradesh,194.2
2019-06-03,Andhra Pradesh,174.6
2019-06-04,Andhra Pradesh,183.4
2019-06-05,Andhra Pradesh,193.4
2019-06-06,Andhra Pradesh,184.1
2019-06-07,Andhra Pradesh,187.5
2019-06-08,Andhra Pradesh,187.2
2019-06-09,Andhra Pradesh,189.7
2019-06-10,Andhra Pradesh,181.0
2019-06-11,Andhra Pradesh,191.0
2019-06-12,Andhra Pradesh,197.3
2019-06-13,Andhra Pradesh,198.4
2019-06-14,Andhra Pradesh,198.7
2019-06-15,Andhra Pradesh,201.8
2019-06-16,Andhra Pradesh,197.6
2019-06-17,Andhra Pradesh,193.4
2019-06-18,Andhra Pradesh,197.0
2019-06-19,Andhra Pradesh,204.0
2019-06-20,Andhra Pradesh,195.3
2019-06-21,Andhra Pradesh,183.0
2019-06-22,Andhra Pradesh,183.0
2019-06-23,Andhra Pradesh,169.6
2019-06-24,Andhra Pradesh,176.2
2019-06-25,Andhra Pradesh,178.1
2019-06-26,Andhra Pradesh,179.0
2019-06-27,Andhra Pradesh,178.2
2019-06-28,Andhra Pradesh,185.0
2019-06-29,Andhra Pradesh,184.6
2019-06-30,Andhra Pradesh,174.3
2019-07-01,Andhra Pradesh,169.9
2019-07-02,Andhra Pradesh,171.9
2019-07-03,Andhra Pradesh,171.4
2019-07-04,Andhra Pradesh,179.4
2019-07-05,Andhra Pradesh,169.3
2019-07-06,Andhra Pradesh,179.4
2019-07-07,Andhra Pradesh,175.1
2019-07-08,Andhra Pradesh,182.5
2019-07-09,Andhra Pradesh,188.4
2019-07-10,Andhra Pradesh,185.9
2019-07-11,Andhra Pradesh,187.1
2019-07-12,Andhra Pradesh,189.0
2019-07-13,Andhra Pradesh,184.1
2019-07-14,Andhra Pradesh,171.8
2019-07-15,Andhra Pradesh,172.3
2019-07-16,Andhra Pradesh,178.1
2019-07-17,Andhra Pradesh,181.9
2019-07-18,Andhra Pradesh,179.2
2019-07-19,Andhra Pradesh,169.0
2019-07-20,Andhra Pradesh,165.5
